ticker,first_date,last_date,n_days,n_months
NCPL,"(2013, 12, 2)","(2026, 8, 3)",153,153
NESTLE,"(2013, 12, 2)","(2026, 8, 3)",153,153
NETSOL,"(2013, 12, 2)","(2026, 8, 3)",153,153
NEXT,"(2013, 12, 2)","(2026, 8, 3)",153,153
NIB,"(2013, 12, 2)","(2017, 7, 4)",44,44
NICL,"(2013, 12, 2)","(2026, 8, 3)",152,152
NINA,"(2021, 10, 25)","(2021, 10, 29)",1,1
NMFL,"(2013, 12, 10)","(2021, 10, 29)",26,26
NML,"(2013, 12, 2)","(2026, 8, 3)",153,153
NONS,"(2013, 12, 3)","(2026, 8, 3)",151,151
NPL,"(2013, 12, 2)","(2026, 8, 3)",153,153
NPSM,"(2013, 12, 4)","(2019, 8, 16)",59,59
NRL,"(2013, 12, 2)","(2026, 8, 3)",153,153
NRSL,"(2016, 5, 13)","(2026, 8, 3)",124,124
NSRM,"(2013, 12, 23)","(2026, 8, 3)",126,126
OBOY,"(2022, 1, 12)","(2026, 8, 3)",56,56
OCTOPUS,"(2021, 10, 5)","(2026, 8, 3)",59,59
OGDC,"(2013, 12, 2)","(2026, 8, 3)",153,153
OLPL,"(2013, 12, 2)","(2026, 8, 3)",153,153
OLPM,"(2022, 3, 24)","(2026, 8, 3)",54,54
OLSM,"(2013, 12, 10)","(2018, 1, 9)",49,49
OML,"(2018, 1, 10)","(2026, 8, 3)",100,100
ORIXM,"(2016, 9, 1)","(2022, 3, 22)",67,67
ORM,"(2017, 11, 17)","(2026, 8, 3)",106,106
OTSU,"(2013, 12, 2)","(2026, 8, 3)",152,152
PABC,"(2021, 7, 16)","(2026, 8, 3)",62,62
PACE,"(2013, 12, 2)","(2026, 8, 3)",153,153
PAEL,"(2013, 12, 2)","(2026, 8, 3)",153,153
PAKCEM,"(2015, 8, 18)","(2016, 9, 9)",14,14
PAKD,"(2013, 12, 2)","(2026, 8, 3)",153,153
PAKL,"(2021, 10, 25)","(2026, 8, 3)",46,46
PAKMI,"(2013, 12, 2)","(2023, 5, 5)",114,114
PAKOXY,"(2018, 3, 19)","(2026, 8, 3)",102,102
PAKRI,"(2013, 12, 2)","(2026, 8, 3)",153,153
PAKT,"(2013, 12, 2)","(2026, 8, 3)",152,152
PASL,"(2013, 12, 2)","(2026, 8, 3)",153,153
PASM,"(2013, 12, 2)","(2026, 8, 3)",55,55
PCAL,"(2013, 12, 2)","(2026, 8, 3)",153,153
PCML,"(2017, 12, 21)","(2017, 12, 21)",1,1
