ticker,year,month,volume_tl
YESIL,2021,4,849363304.0
YESIL,2021,5,572753642.0
YESIL,2021,6,1090167864.0
YESIL,2021,7,378729344.0
YESIL,2021,8,612299839.0
YESIL,2021,9,1441806355.0
YESIL,2021,10,429015944.0
YESIL,2021,11,727914084.0
YESIL,2021,12,672178334.0
YESIL,2022,1,575860054.0
YESIL,2022,2,247101448.0
YESIL,2022,3,283381138.0
YESIL,2022,4,294146269.0
YESIL,2022,5,163120476.0
YESIL,2022,6,189454164.0
YESIL,2022,7,105693469.0
YESIL,2022,8,454011691.0
YESIL,2022,9,284252477.0
YESIL,2022,10,728749070.0
YESIL,2022,11,1178529231.0
YESIL,2022,12,1091523418.0
YESIL,2023,1,3313668999.0
YESIL,2023,2,877375199.0
YESIL,2023,3,2028878708.0
YESIL,2023,4,803381222.0
YESIL,2023,5,622758240.0
YESIL,2023,6,2307133819.0
YESIL,2023,7,4007778432.0
YESIL,2023,8,3555797251.0
YESIL,2023,9,1361772963.0
YESIL,2023,10,2014296903.0
YESIL,2023,11,1167000712.0
YESIL,2023,12,675984028.0
YESIL,2024,1,738048953.0
YESIL,2024,2,1663022336.0
YESIL,2024,3,656095414.0
YESIL,2024,4,1295668660.0
YESIL,2024,5,2065040549.0
YESIL,2024,6,636643887.0
YESIL,2024,7,1793631835.0
YESIL,2024,8,1061210830.0
YESIL,2024,9,1658645491.0
YESIL,2024,10,887597393.0
YESIL,2024,11,2299134042.0
YESIL,2024,12,4743551948.0
YESIL,2025,1,1246079245.0
YESIL,2025,2,1065751031.0
YESIL,2025,3,1012220531.0
YESIL,2025,4,597739371.0
YESIL,2025,5,1375428906.0
YESIL,2025,6,1135080556.0
YESIL,2025,7,4172671385.0
YESIL,2025,8,4839394056.0
YESIL,2025,9,7902264944.0
YESIL,2025,10,3801792103.0
YESIL,2025,11,4061366940.0
YESIL,2025,12,1426449521.0
YESIL,2026,1,1483566902.0
YESIL,2026,2,1438289062.0
YESIL,2026,3,1728713935.88
YESIL,2026,4,2608418957.28
YESIL,2026,5,1315617482.0
YESIL,2026,6,598403278.0
YESIL,2026,7,669946735.0
YESIL,2026,8,17540878.0
YGGYO,2013,11,546461.0
YGGYO,2013,12,2877037.6
YGGYO,2014,1,1401911.0
YGGYO,2014,2,6425753.0
YGGYO,2014,3,1463950.0
YGGYO,2014,4,3137968.9
YGGYO,2014,5,4000480.0
YGGYO,2014,6,4590336.0
YGGYO,2014,7,4220393.0
YGGYO,2014,8,2428933.0
YGGYO,2014,9,1600755.0
YGGYO,2014,10,2468840.0
YGGYO,2014,11,2653595.0
YGGYO,2014,12,4258497.0
YGGYO,2015,1,2171600.0
YGGYO,2015,2,3244205.0
YGGYO,2015,3,6464963.0
YGGYO,2015,4,4634767.0
YGGYO,2015,5,7122088.0
YGGYO,2015,6,13225092.0
YGGYO,2015,7,10415741.0
YGGYO,2015,8,5736746.0
YGGYO,2015,9,2850301.0
YGGYO,2015,10,4908352.0
YGGYO,2015,11,4999659.0
YGGYO,2015,12,6474869.0
YGGYO,2016,1,4617535.0
YGGYO,2016,2,3389843.0
YGGYO,2016,3,5816684.0
YGGYO,2016,4,6638700.36
YGGYO,2016,5,10516661.0
YGGYO,2016,6,5188550.0
YGGYO,2016,7,3470045.0
YGGYO,2016,8,5446157.0
YGGYO,2016,9,4582799.0
YGGYO,2016,10,5764925.0
YGGYO,2016,11,5707878.0
YGGYO,2016,12,10271011.0
YGGYO,2017,1,6535417.0
YGGYO,2017,2,7171403.0
YGGYO,2017,3,8513710.0
YGGYO,2017,4,7199563.0
YGGYO,2017,5,8927657.0
YGGYO,2017,6,7409688.0
YGGYO,2017,7,6067434.0
YGGYO,2017,8,10992860.0
YGGYO,2017,9,3304236.0
YGGYO,2017,10,3182832.0
YGGYO,2017,11,5451019.0
YGGYO,2017,12,5389376.0
YGGYO,2018,1,6530166.0
YGGYO,2018,2,8931829.92
YGGYO,2018,3,14598335.0
YGGYO,2018,4,12655002.0
YGGYO,2018,5,6960892.57
YGGYO,2018,6,7022646.0
YGGYO,2018,7,4604495.0
YGGYO,2018,8,6159936.0
YGGYO,2018,9,6406039.14
YGGYO,2018,10,5352151.0
YGGYO,2018,11,5507099.0
YGGYO,2018,12,6405855.0
YGGYO,2019,1,14300527.0
YGGYO,2019,2,10577599.0
YGGYO,2019,3,13080504.0
YGGYO,2019,4,6159498.0
YGGYO,2019,5,9561117.81
YGGYO,2019,6,5938742.0
YGGYO,2019,7,6079525.0
YGGYO,2019,8,6441015.0
YGGYO,2019,9,9574584.0
YGGYO,2019,10,13891429.47
YGGYO,2019,11,8909976.0
YGGYO,2019,12,12601760.23
YGGYO,2020,1,15563995.16
YGGYO,2020,2,15733070.0
YGGYO,2020,3,17043261.0
YGGYO,2020,4,12041392.0
