symbol,year,field,our_normalized,external,ratio,level,source
PRET,2024,TL,22048026.026,21176057.0,1.041,EXACT,sarmaaya
PRET,2024,Eq,8491731.125,8491731.0,1.000,EXACT,sarmaaya
PRET,2024,CA,15504350.328,15504350.0,1.000,EXACT,sarmaaya
BAFS,2024,TA,6218961.728,6218962.0,1.000,EXACT,sarmaaya
BAFS,2024,TL,3629481.464,6632181.0,0.547,loose,sarmaaya
BAFS,2024,Eq,2589480.264,-413220.0,-6.267,MISMATCH,sarmaaya
BAFS,2024,CA,2764591.904,2764592.0,1.000,EXACT,sarmaaya
SAZEW,2025,Sales,108694499.692,108694500.0,1.000,EXACT,dps
SAZEW,2025,TA,41736856.678,41899808.0,0.996,EXACT,sarmaaya
SAZEW,2025,TL,18029159.218,18192111.0,0.991,EXACT,sarmaaya
SAZEW,2025,Eq,23707697.46,23707697.0,1.000,EXACT,sarmaaya
SAZEW,2025,CA,33713714.124,33713714.0,1.000,EXACT,sarmaaya
SAZEW,2025,Sales,108694499.692,108694500.0,1.000,EXACT,sarmaaya
SAZEW,2025,COGS,-77052448.989,78546968.0,0.981,EXACT,sarmaaya
SSML,2022,Sales,4860040.224,4860004.0,1.000,EXACT,dps
MARI,2022,Sales,95134477,95134477.0,1.000,EXACT,dps
MARI,2022,PAT,33063011,33063011.0,1.000,EXACT,dps
TATM,2024,Sales,45823700.0,45823700.0,1.000,EXACT,dps
SRVI,2023,Sales,55744034,55744034.0,1.000,EXACT,dps
SRVI,2023,PAT,1342136,1342136.0,1.000,EXACT,dps
RPL,2024,TA,11863943.861,13146448.0,0.902,EXACT,sarmaaya
RPL,2024,TL,4191739.36,4363612.0,0.961,EXACT,sarmaaya
RPL,2024,Eq,7672204.501,8782836.0,0.874,tight,sarmaaya
RPL,2024,CA,5799993.828,4902210.0,1.183,tight,sarmaaya
SHCM,2025,Sales,509963.504,509963.0,1.000,EXACT,dps
SHCM,2025,PAT,93712.0,93712.0,1.000,EXACT,dps
ELSM,2025,TA,11216228.619,11502143.0,0.975,EXACT,sarmaaya
ELSM,2025,TL,6948096.456,7064569.0,0.984,EXACT,sarmaaya
ELSM,2025,Eq,4268132.163,4268132.0,1.000,EXACT,sarmaaya
ELSM,2025,CA,6414261.457,6414261.0,1.000,EXACT,sarmaaya
ELSM,2025,COGS,-14915173.293,14951535.0,0.998,EXACT,sarmaaya
RUPL,2024,Sales,10485055,10485055.0,1.000,EXACT,dps
RUPL,2024,TA,13296540.0,13296540.0,1.000,EXACT,sarmaaya
RUPL,2024,CA,4930333.0,4930333.0,1.000,EXACT,sarmaaya
MUREB,2025,Sales,28562599,28562599.0,1.000,EXACT,dps
MUREB,2025,PAT,3262052,3262051.0,1.000,EXACT,dps
MUREB,2025,TA,23293627,23293627.0,1.000,EXACT,sarmaaya
MUREB,2025,TL,6055946,6055946.0,1.000,EXACT,sarmaaya
MUREB,2025,Eq,17237681,17237681.0,1.000,EXACT,sarmaaya
MUREB,2025,CA,14240730,14240730.0,1.000,EXACT,sarmaaya
MUREB,2025,Sales,28562599,28562599.0,1.000,EXACT,sarmaaya
MUREB,2025,COGS,-21182224,21474101.0,0.986,EXACT,sarmaaya
MUREB,2025,PAT,3262052,3262052.0,1.000,EXACT,sarmaaya
JSCL,2024,PAT,397941,397141.0,1.002,EXACT,dps
AIRLINK,2024,Sales,56282418.797,56282419.0,1.000,EXACT,dps
AIRLINK,2024,TA,24136593.491,40573903.0,0.595,loose,sarmaaya
AIRLINK,2024,Eq,13555794.519,15069352.0,0.900,tight,sarmaaya
AIRLINK,2024,CA,15470664.259,30545329.0,0.506,loose,sarmaaya
PRET,2023,Sales,22828702.999,22828703.0,1.000,EXACT,dps
PRET,2023,PAT,4310377.0,4310377.0,1.000,EXACT,dps
TOWL,2022,Sales,10238086.187,10238086.0,1.000,EXACT,dps
CPAL,2019,PAT,20147.374,20147.0,1.000,EXACT,dps
UBL,2024,PAT,75155853,80527534.0,0.933,EXACT,dps
GVGL,2022,PAT,755872.364,755872.0,1.000,EXACT,dps
FFC,2022,Sales,109363817,109363817.0,1.000,EXACT,dps
FFC,2022,PAT,20049510,20049510.0,1.000,EXACT,dps
SYS,2022,PAT,6299836.945,6299837.0,1.000,EXACT,dps
HMB,2023,PAT,4720817,24383818.0,0.194,MISMATCH,dps
NPL,2023,Sales,2306964,23068964.0,0.100,MISMATCH,dps
NPL,2023,PAT,4091029,3322606.0,1.231,tight,dps
PIBTL,2025,PAT,1764987.0,1764987.0,1.000,EXACT,dps
PIBTL,2025,PAT,1764987.0,-257930.0,-6.843,MISMATCH,sarmaaya
TSBL,2025,PAT,19168.186,19168.0,1.000,EXACT,dps
ORM,2024,PAT,218370.877,218371.0,1.000,EXACT,dps
HSM,2018,Sales,2755736.878,2755737.0,1.000,EXACT,dps
PSO,2023,Sales,3391111978,3391111978.0,1.000,EXACT,dps
PSO,2023,PAT,5662145,5662145.0,1.000,EXACT,dps
TPLT,2025,TA,6014121.877,5762147.0,1.044,EXACT,sarmaaya
TPLT,2025,TL,3601772.055,4017301.0,0.897,tight,sarmaaya
TPLT,2025,Eq,2412349.822,1744846.0,1.383,loose,sarmaaya
TPLT,2025,CA,165.384,1610181.0,0.000,MISMATCH,sarmaaya
NICL,2024,TA,31286504.216,32146500.0,0.973,EXACT,sarmaaya
NICL,2024,TL,22929504.541,23228383.0,0.987,EXACT,sarmaaya
NICL,2024,Eq,8356999.675,8357000.0,1.000,EXACT,sarmaaya
NICL,2024,CA,17583060.947,17583061.0,1.000,EXACT,sarmaaya
WAVES,2024,Sales,331198.0,331198.0,1.000,EXACT,dps
WAVES,2024,PAT,61831.0,61831.0,1.000,EXACT,dps
SCL,2022,Sales,2662054.711,2662055.0,1.000,EXACT,dps
INKL,2023,Sales,611489.441,611489.0,1.000,EXACT,dps
INKL,2023,PAT,22073.905,22074.0,1.000,EXACT,dps
